"Stock Code","Description","Unit"
"AUBG000653","Green Care Sheep Placenta","CAPS"
"AUBG000654","Lior Ginkgo Biloba Tablets","TABS"
"AUBG000655","Gelatine Pre-mix (Dark Brown)","KG"
"AUBG000656","Propolis 500mg Plus Lycopene","CAPS"
"AUBG000657","Baby Sheep 7000mg Soft Gel","CAPS"
"AUBG000658","Lior Ginkgo Biloba Tablets","TABS"
"AUBG000660","Green One Osteo 750","CAPS"
"AUBG000661","Natural Pharm Kangaroo 2500mg","CAPS"
"AUBG000662","Sheep Placenta 1000mg SG","CAPS"
"AUBG000663","Colostrum 3.5mg IgG Tablets","TABS"
"AUBG000664","Glucosamine 1500 Tablets","TABS"
"AUBG000665","Hydrocal Calcium Magnesium","KG"
"AUBG000666","Conjugated Linoleic Soft Gel","CAPS"
"AUBG000667","Milk Calcium Tablets ATW 545mg","TABS"
"AUBG000668","Glucosamine 1500 Tablets","TABS"
"AUBG000669","Royal Jelly 1000mg (0.1%)","CAPS"
"AUBG000670","Life Spring Calcium Plus","KG"
"AUBG000671","ABL Baby Health Colostrum Milk","KG"
"AUBG000672","Baby Sheep 7000mg Soft Gel","CAPS"
"AUBG000673","Wheat Germ Oil 500mg Soft Gel","CAPS"
"AUBG000674","Baby Sheep 30g Hard Shell","CAPS"
"AUBG000675","Malaika Propolis 200mg/mL","KG"
"AUBG000676","Koda Herbs Hard Shell Capsules","CAPS"
"AUBG000677","Silymarin 32g Hard Shell","CAPS"
"AUBG000678","Baby Sheep 30g Soft Gel","CAPS"
"AUBG000679","Gelatine Premix (Light Brown)","KG"
"AUBG000680","Talyala Emu Farm Emu Oil","CAPS"
"AUBG000681","Omega 3 (40/20) 500mg Soft Gel","CAPS"
"AUBG000682","Revital Gold Vitamin C","CAPS"
"AUBG000683","Flaxseed Oil 1000mg Soft Gel","CAPS"
"AUBG000684","Grape Seed 24g Hard Shell","CAPS"
"AUBG000685","Oyster 100mg Hard Shell","CAPS"
"AUBG000686","Coenzyme Q10 50mg Hard Shell","CAPS"
"AUBG000687","Lycopene 10mg Soft Gel","CAPS"
"AUBG000688","A B Mauri Base Enzyme Tablets","TABS"
"AUBG000689","Millenium Muscle Relief","KG"
"AUBG000690","Gymnema 500mg Hard Shell","CAPS"
"AUBG000691","Garlic Oil 3000mg Soft Gel","CAPS"
"AUBG000693","Royal Jelly 1000mg (1.1%) Plus","CAPS"
"AUBG000694","Green Care Kangaroo Plus","CAPS"
"AUBG000695","Royal Jelly Plus Soy","CAPS"
"AUBG000696","Filamentous Fungi Soft Gel","CAPS"
"AUBG000697","Millenium Vitamin C With","KG"
"AUBG000698","Honey Spring Propolis","KG"
"AUBG000699","Spirulina 300mg + Barley Grass","TABS"
"AUBG000700","Baby Sheep Powder (Non-pharm)","KG"
"AUBG000701","Pueraria Lobata Soft Gel","CAPS"
"AUBG000703","Health Research Percy's Powder","KG"
"AUBG000704","Aloe Vera 1000mg Soft Gel","CAPS"
"AUBG000705","Bilberry Plus Soft Gel","CAPS"
"AUBG000706","Baby Sheep 12000mg HS","CAPS"
"AUBG000707","Bronx BCAA Powder (Non-pharm)","KG"
"AUBG000708","Omega 3 (18/12) 500mg SG","CAPS"
"AUBG000710","Pacific Zinc Tablets (Pharm)","TABS"
"AUBG000711","Millenium Octacosanol 12mg","TABS"
"AUBG000712","Millenium Hepatic Detox","TABS"
"AUBG000713","Natural Care 3 in 1 Soft Gel","CAPS"
"AUBG000714","Millenium Green Lipped Mussel","CAPS"
"AUBG000717","Millenium Hepatic Detox","TABS"
"AUBG000719","Royal Jelly (1.1%) 1000mg +","CAPS"
"AUBG000720","Proudex Royal Jelly Soft Gel","CAPS"
"AUBG000722","Blueberry 1000mg HS Capsules","CAPS"
"AUBG000723","Grape Seed Powder (Non-pharm)","KG"
"AUBG000724","Squalene 1000mg + Vit E","CAPS"
"AUBG000725","Royal Jelly 500mg (1.2%) SG","CAPS"
"AUBG000727","Cranberry Hard Shell Capsules","CAPS"
"AUBG000728","Garlic Oil 3000mg SG Capsules","CAPS"
"AUBG000730","Neemoil K O Lice-n-Mites","KG"
"AUBG000731","Shark Cartilage 750mg","CAPS"
"AUBG000732","FOTA Organic Acai 500mg","CAPS"
"AUBG000733","Green Paradise Macadamia Oil","CAPS"
"AUBG000734","Colostrum 10mg IgG Tablets (U)","TABS"
"AUBG000735","Marine Collagen Powder","KG"
"AUBG000737","Colostrum 45mg IgG Tablets","TABS"
"AUBG000739","Colostrum 45mg IgG Tablets (U)","TABS"
"AUBG000740","Echinacea Candy (Non-pharm)","TABS"
"AUBG000741","Omega 3 (35/25) 500mg SG","CAPS"
"AUBG000742","Totolax Natural Psyllium","KG"
"AUBG000743","Apple Cider Vinegar Plus","CAPS"
"AUBG000744","Colostrum 60mg IgG Tablets (U)","TABS"
"AUBG000744     Y","Colostrum 60mg IgG Tablets (U)","TABS"
"AUBG000746","Green Lipped Mussel Plus","CAPS"
"AUBG000747","Gold Coast Squalene 1000mg(FW)","CAPS"
"AUBG000748","Regen Emu Oil 500mg Soft Gel","CAPS"
"AUBG000749","Colostrum 5mg IgG Tablets","TABS"
"AUBG000750","Omega 3 1000mg (50/10) + Vit E","CAPS"
"AUBG000751","Regen Emu Oil 500mg","CAPS"
"AUBG000752","Regen Emu Oil 750mg","CAPS"
"AUBG000753","Coenzyme Q10 30mg Hard Shell","CAPS"
"AUBG000754","Concord Propolis 500mg &","KG"
"AUBG000755","Neemoil K O Lice-n-Mites","KG"
"AUBG000756","Propolis 200mg/mL With Honey","KG"
"AUBG000757","Spirulina Plus Lactobacillus","CAPS"
"AUBG000758","A&G Cordyceps 450mg HS","CAPS"
"AUBG000759","Key Sun Clear Throat Spray","KG"
"AUBG000760","Coenzyme Q10 30mg Hard Shell","CAPS"
"AUBG000761","Omega 3 500mg (50/10) + Vit E","CAPS"
"AUBG000764","A&G Maitake 300mg HS","CAPS"
"AUBG000765","Lecithin 1000mg Soft Gel","CAPS"
"AUBG000768","A&G Colostrum Tablets","TABS"
